Bubble,0.004674
Merge,0.000177
Total,0.004862

Bubble,0.006102
Merge,0.000250
Total,0.006364

Bubble,0.008092
Merge,0.000724
Total,0.008830

Bubble,0.006693
Merge,0.000240
Total,0.006946

Bubble,0.003110
Merge,0.000188
Total,0.003308

Bubble,0.004127
Merge,0.000149
Total,0.004289

Bubble,0.003663
Merge,0.000191
Total,0.003948

Bubble,0.003673
Merge,0.000163
Total,0.003847

Bubble,0.004457
Merge,0.000190
Total,0.004663

Bubble,0.007496
Merge,0.000286
Total,0.007793

Bubble,0.002717
Merge,0.000166
Total,0.002899

Bubble,0.005523
Merge,0.000132
Total,0.005666

Bubble,0.004935
Merge,0.000207
Total,0.005154

Bubble,0.005307
Merge,0.000233
Total,0.005553

Bubble,0.005393
Merge,0.000197
Total,0.005602

