Bubble,2.101821
Merge,0.005117
Total,2.106953

Bubble,2.033638
Merge,0.000346
Total,2.033996

Bubble,2.264649
Merge,0.000207
Total,2.264867

Bubble,2.474272
Merge,0.000211
Total,2.474495

Bubble,2.059535
Merge,0.000191
Total,2.059736

Bubble,2.302306
Merge,0.000322
Total,2.302641

Bubble,1.990347
Merge,0.000227
Total,1.990586

Bubble,1.939439
Merge,0.000314
Total,1.939766

Bubble,2.411484
Merge,0.000235
Total,2.411731

Bubble,1.811822
Merge,0.000347
Total,1.812180

Bubble,1.660075
Merge,0.000259
Total,1.660347

Bubble,1.646929
Merge,0.000484
Total,1.647429

Bubble,1.810508
Merge,0.000208
Total,1.810728

Bubble,2.071046
Merge,0.000360
Total,2.071417

Bubble,1.827190
Merge,0.000291
Total,1.827493

