Bubble,0.010570
Merge,0.000320
Total,0.010902

Bubble,0.009557
Merge,0.000288
Total,0.009859

Bubble,0.012052
Merge,0.000193
Total,0.012254

Bubble,0.017350
Merge,0.000212
Total,0.017574

Bubble,0.011848
Merge,0.000252
Total,0.012112

Bubble,0.009238
Merge,0.003672
Total,0.012989

Bubble,0.029687
Merge,0.000186
Total,0.029885

Bubble,0.032247
Merge,0.000217
Total,0.032483

Bubble,0.003627
Merge,0.000186
Total,0.003834

Bubble,0.017538
Merge,0.000200
Total,0.017750

Bubble,0.003573
Merge,0.000180
Total,0.003764

Bubble,0.003675
Merge,0.000235
Total,0.003921

Bubble,0.017259
Merge,0.000190
Total,0.017458

Bubble,0.024837
Merge,0.000170
Total,0.025019

Bubble,0.026261
Merge,0.000260
Total,0.026556

