Bubble,10.226073
Merge,0.000691
Total,10.226780

Bubble,8.550397
Merge,0.000722
Total,8.551134

Bubble,8.842758
Merge,0.000617
Total,8.843389

Bubble,9.456573
Merge,0.000654
Total,9.457242

Bubble,9.594748
Merge,0.000661
Total,9.595426

Bubble,9.787042
Merge,0.000528
Total,9.787583

Bubble,8.577047
Merge,0.000645
Total,8.577706

Bubble,9.303939
Merge,0.000630
Total,9.304584

Bubble,9.441304
Merge,0.000690
Total,9.442011

Bubble,9.436920
Merge,0.000641
Total,9.437575

Bubble,9.347333
Merge,0.000636
Total,9.347982

Bubble,8.891870
Merge,0.000731
Total,8.892614

Bubble,9.962557
Merge,0.000599
Total,9.963174

Bubble,8.990773
Merge,0.000742
Total,8.991533

Bubble,9.570152
Merge,0.001356
Total,9.571524

