Bubble,0.005159
Merge,0.000303
Total,0.005476

Bubble,0.005670
Merge,0.000173
Total,0.005852

Bubble,0.005322
Merge,0.000329
Total,0.005663

Bubble,0.008761
Merge,0.000213
Total,0.008984

Bubble,0.005876
Merge,0.000465
Total,0.006354

Bubble,0.004382
Merge,0.000304
Total,0.004698

Bubble,0.007798
Merge,0.000199
Total,0.008008

Bubble,0.007129
Merge,0.000211
Total,0.007351

Bubble,0.007528
Merge,0.000249
Total,0.007914

Bubble,0.004358
Merge,0.000217
Total,0.004587

Bubble,0.006678
Merge,0.000196
Total,0.006886

Bubble,0.007780
Merge,0.000207
Total,0.007999

Bubble,0.011535
Merge,0.000248
Total,0.011795

Bubble,0.005115
Merge,0.000536
Total,0.005663

Bubble,0.010539
Merge,0.000197
Total,0.010746

