Bubble,0.028794
Merge,0.000863
Total,0.029673

Bubble,0.024161
Merge,0.000887
Total,0.025063

Bubble,0.023564
Merge,0.001079
Total,0.024657

Bubble,0.045720
Merge,0.000968
Total,0.046700

Bubble,0.024996
Merge,0.001010
Total,0.026021

Bubble,0.020750
Merge,0.001034
Total,0.021798

Bubble,0.028408
Merge,0.000980
Total,0.029403

Bubble,0.030104
Merge,0.000987
Total,0.031106

Bubble,0.036875
Merge,0.000903
Total,0.037793

Bubble,0.039379
Merge,0.000909
Total,0.040302

Bubble,0.019822
Merge,0.000903
Total,0.020742

Bubble,0.020280
Merge,0.001017
Total,0.021313

Bubble,0.025616
Merge,0.001057
Total,0.026694

Bubble,0.019543
Merge,0.000744
Total,0.020301

Bubble,0.024682
Merge,0.000917
Total,0.025614

